465,Belfast Intl,Belfast,United Kingdom,BFS,EGAA,54.6575,-6.215833,268,0,E,Europe/London
466,St Angelo,Enniskillen,United Kingdom,ENK,EGAB,54.398889,-7.651667,155,0,E,Europe/London
467,Belfast City,Belfast,United Kingdom,BHD,EGAC,54.618056,-5.8725,15,0,E,Europe/London
468,City of Derry,Londonderry,United Kingdom,LDY,EGAE,55.042778,-7.161111,22,0,E,Europe/London
469,Birmingham,Birmingham,United Kingdom,BHX,EGBB,52.453856,-1.748028,327,0,E,Europe/London
470,Coventry,Coventry,United Kingdom,CVT,EGBE,52.369722,-1.479722,267,0,E,Europe/London
471,Leicester,Leicester,United Kingdom,,EGBG,52.607778,-1.031944,469,0,E,Europe/London
472,Gloucestershire,Golouchestershire,United Kingdom,GLO,EGBJ,51.894167,-2.167222,101,0,E,Europe/London
474,Wolverhampton,Halfpenny Green,United Kingdom,,EGBO,52.5175,-2.259444,283,0,E,Europe/London
475,Kemble,Pailton,United Kingdom,,EGBP,51.668056,-2.056944,433,0,E,Europe/London
476,Turweston,Turweston,United Kingdom,,EGBT,52.040833,-1.095556,448,0,E,Europe/London
477,Wellesbourne Mountford,Wellesbourne,United Kingdom,,EGBW,52.192222,-1.614444,159,0,E,Europe/London
478,Manchester,Manchester,United Kingdom,MAN,EGCC,53.353744,-2.27495,257,0,E,Europe/London
479,Manchester Woodford,Woodfort,United Kingdom,,EGCD,53.338056,-2.148889,295,0,E,Europe/London
480,Chivenor,Chivenor,United Kingdom,,EGDC,51.087167,-4.150339,27,0,E,Europe/London
481,St Mawgan,Newquai,United Kingdom,NQY,EGDG,50.440558,-4.995408,390,0,E,Europe/London
482,Lyneham,Lyneham,United Kingdom,LYE,EGDL,51.505144,-1.993428,513,0,E,Europe/London
483,Boscombe Down,Boscombe Down,United Kingdom,,EGDM,51.152189,-1.747414,407,0,E,Europe/London
484,Culdrose,Culdrose,United Kingdom,,EGDR,50.086092,-5.255711,267,0,E,Europe/London
485,St Athan,St. Athan,United Kingdom,,EGDX,51.404811,-3.43575,163,0,E,Europe/London
486,Yeovilton,Yeovilton,United Kingdom,YEO,EGDY,51.009358,-2.638819,75,0,E,Europe/London
487,Haverfordwest,Haverfordwest,United Kingdom,,EGFE,51.833056,-4.961111,159,0,E,Europe/London
488,Cardiff,Cardiff,United Kingdom,CWL,EGFF,51.396667,-3.343333,220,0,E,Europe/London
489,Swansea,Swansea,United Kingdom,SWS,EGFH,51.605333,-4.067833,299,0,E,Europe/London
490,Bristol,Bristol,United Kingdom,BRS,EGGD,51.382669,-2.719089,622,0,E,Europe/London
491,Liverpool,Liverpool,United Kingdom,LPL,EGGP,53.333611,-2.849722,80,0,E,Europe/London
492,Luton,London,United Kingdom,LTN,EGGW,51.874722,-0.368333,526,0,E,Europe/London
493,Plymouth,Plymouth,United Kingdom,PLH,EGHD,50.422778,-4.105833,476,0,E,Europe/London
494,Bournemouth,Bournemouth,United Kingdom,BOH,EGHH,50.78,-1.8425,38,0,E,Europe/London
495,Southampton,Southampton,United Kingdom,SOU,EGHI,50.950261,-1.356803,44,0,E,Europe/London
496,Lasham,Lasham,United Kingdom,QLA,EGHL,51.187167,-1.0335,618,0,E,Europe/London
500,Shoreham,Shoreham By Sea,United Kingdom,ESH,EGKA,50.835556,-0.297222,7,0,E,Europe/London
501,Biggin Hill,Biggin Hill,United Kingdom,BQH,EGKB,51.330833,0.0325,598,0,E,Europe/London
502,Gatwick,London,United Kingdom,LGW,EGKK,51.148056,-0.190278,202,0,E,Europe/London
503,City,London,United Kingdom,LCY,EGLC,51.505278,0.055278,19,0,E,Europe/London
504,Farnborough,Farnborough,United Kingdom,FAB,EGLF,51.275833,-0.776333,238,0,E,Europe/London
505,Chalgrove,Chalsgrove,United Kingdom,,EGLJ,51.676111,-1.080833,240,0,E,Europe/London
506,Blackbushe,Blackbushe,United Kingdom,BBS,EGLK,51.323889,-0.8475,325,0,E,Europe/London
507,Heathrow,London,United Kingdom,LHR,EGLL,51.4775,-0.461389,83,0,E,Europe/London
508,Southend,Southend,United Kingdom,SEN,EGMC,51.571389,0.695556,49,0,E,Europe/London
509,Lydd,Lydd,United Kingdom,LYX,EGMD,50.956111,0.939167,13,0,E,Europe/London
510,Manston,Manston,United Kingdom,MSE,EGMH,51.342222,1.346111,178,0,E,Europe/London
511,Brough,Brough,United Kingdom,,EGNB,53.719667,-0.566333,12,0,E,Europe/London
512,Carlisle,Carlisle,United Kingdom,CAX,EGNC,54.9375,-2.809167,190,0,E,Europe/London
513,Gamston,Repton,United Kingdom,,EGNE,53.280556,-0.951389,91,0,E,Europe/London
514,Blackpool,Blackpool,United Kingdom,BLK,EGNH,53.771667,-3.028611,34,0,E,Europe/London
515,Humberside,Humberside,United Kingdom,HUY,EGNJ,53.574444,-0.350833,121,0,E,Europe/London
516,Walney Island,Barrow Island,United Kingdom,BWF,EGNL,54.131167,-3.263667,173,0,E,Europe/London
517,Leeds Bradford,Leeds,United Kingdom,LBA,EGNM,53.865897,-1.660569,681,0,E,Europe/London
518,Warton,Warton,United Kingdom,,EGNO,53.745097,-2.883061,55,0,E,Europe/London
519,Hawarden,Hawarden,United Kingdom,CEG,EGNR,53.178056,-2.977778,45,0,E,Europe/London
521,Newcastle,Newcastle,United Kingdom,NCL,EGNT,55.0375,-1.691667,266,0,E,Europe/London
522,Durham Tees Valley Airport,Teesside,United Kingdom,MME,EGNV,54.509189,-1.429406,120,0,E,Europe/London
523,Nottingham East Midlands,East Midlands,United Kingdom,EMA,EGNX,52.831111,-1.328056,306,0,E,Europe/London
524,Llanbedr,Llanbedr,United Kingdom,,EGOD,52.811744,-4.123575,30,0,E,Europe/London
525,Ternhill,Ternhill,United Kingdom,,EGOE,52.871164,-2.533561,272,0,E,Europe/London
526,Shawbury,Shawbury,United Kingdom,,EGOS,52.798169,-2.668042,249,0,E,Europe/London
528,Woodvale,Woodvale,United Kingdom,,EGOW,53.581575,-3.055522,37,0,E,Europe/London
529,Kirkwall,Kirkwall,United Kingdom,KOI,EGPA,58.957778,-2.905,50,0,E,Europe/London
530,Sumburgh,Sumburgh,United Kingdom,LSI,EGPB,59.878889,-1.295556,20,0,E,Europe/London
531,Wick,Wick,United Kingdom,WIC,EGPC,58.458889,-3.093056,126,0,E,Europe/London
532,Dyce,Aberdeen,United Kingdom,ABZ,EGPD,57.201944,-2.197778,215,0,E,Europe/London
533,Inverness,Inverness,United Kingdom,INV,EGPE,57.5425,-4.0475,31,0,E,Europe/London
534,Glasgow,Glasgow,United Kingdom,GLA,EGPF,55.871944,-4.433056,26,0,E,Europe/London
535,Edinburgh,Edinburgh,United Kingdom,EDI,EGPH,55.95,-3.3725,135,0,E,Europe/London
536,Islay,Islay,United Kingdom,ILY,EGPI,55.681944,-6.256667,56,0,E,Europe/London
537,Prestwick,Prestwick,United Kingdom,PIK,EGPK,55.509444,-4.586667,65,0,E,Europe/London
538,Benbecula,Benbecula,United Kingdom,BEB,EGPL,57.481111,-7.362778,19,0,E,Europe/London
539,Scatsta,Scatsta,United Kingdom,SDZ,EGPM,60.432778,-1.296111,81,0,E,Europe/London
540,Dundee,Dundee,United Kingdom,DND,EGPN,56.452499,-3.025833,17,0,E,Europe/London
541,Stornoway,Stornoway,United Kingdom,SYY,EGPO,58.215556,-6.331111,26,0,E,Europe/London
542,Tiree,Tiree,United Kingdom,TRE,EGPU,56.499167,-6.869167,38,0,E,Europe/London
543,Leuchars,Leuchars,United Kingdom,ADX,EGQL,56.372889,-2.868444,38,0,E,Europe/London
544,Lossiemouth,Lossiemouth,United Kingdom,LMO,EGQS,57.705214,-3.339169,42,0,E,Europe/London
545,Cambridge,Cambridge,United Kingdom,CBG,EGSC,52.205,0.175,47,0,E,Europe/London
546,Conington,Peterborough,United Kingdom,,EGSF,52.468056,-0.251111,26,0,E,Europe/London
547,Norwich,Norwich,United Kingdom,NWI,EGSH,52.675833,1.282778,117,0,E,Europe/London
548,Stansted,London,United Kingdom,STN,EGSS,51.885,0.235,348,0,E,Europe/London
549,North Weald,North Weald,United Kingdom,,EGSX,51.721667,0.154167,321,0,E,Europe/London
550,Sheffield City,Fowlmere,United Kingdom,,EGSY,53.394256,-1.388486,231,0,E,Europe/London
551,Cranfield,Cranfield,United Kingdom,,EGTC,52.072222,-0.616667,358,0,E,Europe/London
552,Exeter,Exeter,United Kingdom,EXT,EGTE,50.734444,-3.413889,102,0,E,Europe/London
553,Bristol Filton,Bristol,United Kingdom,FZO,EGTG,51.519444,-2.590833,226,0,E,Europe/London
554,Kidlington,Oxford,United Kingdom,OXF,EGTK,51.836944,-1.32,270,0,E,Europe/London
555,Benson,Benson,United Kingdom,,EGUB,51.616389,-1.095833,226,0,E,Europe/London
556,Lakenheath,Lakenheath,United Kingdom,,EGUL,52.409333,0.561,32,0,E,Europe/London
557,Mildenhall,Mildenhall,United Kingdom,MHZ,EGUN,52.361933,0.486406,33,0,E,Europe/London
558,Wattisham,Wattisham,United Kingdom,,EGUW,52.127283,0.956264,284,0,E,Europe/London
559,Wyton,Wyton,United Kingdom,,EGUY,52.357167,-0.107833,135,0,E,Europe/London
560,Fairford,Fairford,United Kingdom,FFD,EGVA,51.682167,-1.790028,286,0,E,Europe/London
561,Brize Norton,Brize Norton,United Kingdom,BZZ,EGVN,51.749964,-1.583617,288,0,E,Europe/London
562,Odiham,Odiham,United Kingdom,ODH,EGVO,51.234139,-0.942825,405,0,E,Europe/London
563,Cosford,Cosford,United Kingdom,,EGWC,52.640028,-2.305578,272,0,E,Europe/London
564,Northolt,Northolt,United Kingdom,NHT,EGWU,51.553,-0.418167,124,0,E,Europe/London
565,Coningsby,Coningsby,United Kingdom,QCY,EGXC,53.093014,-0.166014,25,0,E,Europe/London
566,Dishforth,Dishforth,United Kingdom,,EGXD,54.137186,-1.420253,117,0,E,Europe/London
567,Leeming,Leeming,United Kingdom,,EGXE,54.292383,-1.5354,132,0,E,Europe/London
